Tm,#Bat,BatAge,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,LOB
Arizona Diamondbacks,54,27.4,4.60,162,6124,5436,746,1359,274,44,166,706,166,26,540,1247,.250,.322,.408,.730,98,2219,121,58,36,50,11,1091
Atlanta Braves,53,27.9,5.85,162,6249,5597,947,1543,293,23,307,916,132,27,538,1289,.276,.344,.501,.845,124,2803,128,67,2,43,20,1062
Baltimore Orioles,50,27.3,4.98,162,6123,5495,807,1399,309,28,183,780,114,24,512,1370,.255,.321,.421,.742,107,2313,114,45,21,47,14,1041
Boston Red Sox,56,28.6,4.77,162,6174,5562,772,1437,339,19,182,734,112,26,486,1372,.258,.324,.424,.748,100,2360,118,71,11,35,15,1117
Chicago Cubs,48,28.4,5.06,162,6220,5504,819,1399,269,30,196,786,140,34,570,1391,.254,.330,.421,.751,101,2316,95,77,15,52,11,1127
Chicago White Sox,56,27.8,3.96,162,5980,5501,641,1308,264,13,171,617,86,22,377,1424,.238,.291,.384,.675,83,2111,122,52,16,29,19,1009
Cincinnati Reds,65,26.8,4.83,162,6195,5499,783,1371,268,37,198,747,190,48,556,1500,.249,.327,.420,.746,99,2307,101,92,19,29,8,1107
Cleveland Guardians,50,26.6,4.09,162,6096,5513,662,1379,294,29,124,622,151,36,471,1142,.250,.313,.381,.695,94,2103,108,55,13,44,40,1121
Colorado Rockies,57,28.1,4.45,162,6055,5496,721,1368,305,31,163,685,76,25,447,1543,.249,.310,.405,.715,83,2224,124,59,11,41,8,1038
Detroit Tigers,51,27.4,4.08,162,6080,5478,661,1292,245,29,165,635,85,23,508,1473,.236,.305,.382,.686,87,2090,107,49,13,31,10,1103
Houston Astros,41,28.8,5.10,162,6253,5567,827,1441,280,22,222,799,107,32,550,1241,.259,.331,.437,.768,111,2431,124,72,14,40,17,1134
Kansas City Royals,58,26.3,4.17,162,5985,5428,676,1325,258,43,163,651,163,47,411,1396,.244,.303,.398,.700,91,2158,96,71,14,58,12,1009
Los Angeles Angels,66,28.6,4.56,162,6145,5489,739,1346,248,26,231,708,72,31,518,1524,.245,.317,.426,.743,100,2339,117,79,8,46,27,1102
Los Angeles Dodgers,58,30.9,5.59,162,6333,5524,906,1422,303,20,249,877,105,25,644,1359,.257,.340,.455,.795,113,2512,98,85,5,69,29,1163
Miami Marlins,52,29.4,4.11,162,6043,5497,666,1423,258,23,166,633,86,21,430,1287,.259,.316,.405,.721,94,2225,159,50,22,38,23,1097
Milwaukee Brewers,58,27.7,4.49,162,6084,5386,728,1290,257,16,165,696,129,28,591,1412,.240,.319,.385,.704,93,2074,144,58,7,39,15,1075
Minnesota Twins,48,28.6,4.80,162,6219,5489,778,1336,264,24,233,745,86,18,594,1654,.243,.326,.428,.753,106,2347,119,92,12,32,13,1138
New York Mets,59,28.9,4.43,162,6056,5363,717,1276,221,21,215,692,118,15,525,1331,.238,.316,.407,.723,98,2184,105,107,19,38,11,1082
New York Yankees,54,28.5,4.15,162,5973,5323,673,1207,221,15,219,650,100,30,557,1427,.227,.304,.397,.701,91,2115,119,47,9,36,18,1007
Oakland Athletics,62,27.1,3.61,162,5966,5311,585,1187,225,21,171,563,149,31,498,1496,.223,.298,.370,.669,91,1967,125,85,28,36,12,1043
Philadelphia Phillies,44,28.4,4.91,162,6207,5541,796,1417,291,29,220,771,141,26,539,1481,.256,.327,.438,.765,108,2426,110,69,13,42,22,1123
Pittsburgh Pirates,58,27.3,4.27,162,6089,5406,692,1293,287,31,159,662,117,41,556,1464,.239,.315,.392,.707,92,2119,92,58,25,43,9,1111
San Diego Padres,56,28.4,4.64,162,6180,5401,752,1316,273,14,205,719,137,32,653,1311,.244,.329,.413,.742,106,2232,134,57,22,44,16,1144
Seattle Mariners,56,27.8,4.68,162,6201,5500,758,1332,283,12,210,728,118,30,548,1603,.242,.321,.413,.734,106,2269,95,111,4,37,14,1144
San Francisco Giants,52,28.4,4.16,162,6095,5412,674,1271,256,13,174,651,57,16,544,1492,.235,.312,.383,.695,92,2075,116,81,17,39,19,1130
St. Louis Cardinals,52,27.5,4.44,162,6204,5510,719,1376,264,12,209,697,101,29,570,1326,.250,.326,.416,.742,101,2291,122,70,13,37,17,1183
Tampa Bay Rays,58,26.8,5.31,162,6164,5511,860,1432,282,24,230,827,160,41,514,1420,.260,.331,.445,.776,114,2452,109,95,6,38,7,1047
Texas Rangers,48,28.3,5.44,162,6306,5595,881,1470,326,18,233,845,79,19,599,1416,.263,.337,.452,.790,113,2531,103,53,10,47,17,1164
Toronto Blue Jays,46,28.8,4.60,162,6220,5562,746,1423,292,19,188,705,99,34,550,1303,.256,.329,.417,.745,106,2317,129,69,4,32,14,1170
Washington Nationals,48,26.8,4.32,162,6085,5522,700,1401,279,26,151,665,127,29,423,1149,.254,.314,.396,.709,95,2185,112,78,20,38,6,1082
League Average,49,28.0,4.62,162,6137,5481,748,1361,274,24,196,717,117,29,527,1395,.248,.320,.414,.734,100,2270,116,70,14,41,16,1099
,1457,28.0,4.62,4860,184104,164418,22432,40839,8228,712,5868,21512,3503,866,15819,41843,.248,.320,.414,.734,100,68095,3466,2112,429,1230,474,32964
