Rk,Total,All P,SP,RP,Non-P,C,1B,2B,3B,SS,LF,CF,RF,OF (All),DH,PH
1,Atlanta Braves22.1,MIA9.3,MIA7.8,NYY4.5,ATL19.8,ARI2.0,ATL5.2,TEX5.1,ATL3.7,TEX4.8,SDP2.8,SEA3.2,ATL5.9,ATL6.6,LAA3.6,TBR0.6
2,Tampa Bay Rays19.0,PHI7.8,MIN6.3,CIN3.8,TBR15.4,STL1.7,LAD4.2,CLE3.0,PIT2.9,TBR4.0,ARI1.8,PHI3.1,LAD3.8,HOU6.2,HOU1.9,TOR0.5
3,Texas Rangers14.6,MIN6.9,TEX5.5,PHI2.7,TEX14.6,PHI1.5,TBR3.5,ATL2.8,HOU2.6,NYM3.6,TBR1.6,TOR3.1,HOU3.5,SDP5.8,ATL1.5,MIN0.4
4,Houston Astros12.7,NYY6.5,PHI5.2,MIL1.7,LAD12.0,ATL1.5,ARI1.3,ARI2.7,TOR2.5,SEA3.4,MIL1.4,CHW2.4,SDP2.9,LAD4.5,TBR1.4,PHI0.1
5,Minnesota Twins12.3,MIL4.6,SDP4.3,MIA1.6,HOU11.9,SEA1.4,SFG1.0,CHC2.6,BAL2.3,CHC3.2,HOU1.3,CHC2.0,TEX1.6,TBR3.6,BAL1.1,BAL0.1
6,Philadelphia Phillies11.9,BOS4.0,NYM3.9,HOU1.4,TOR10.8,MIL1.3,NYM0.8,MIA2.6,TBR2.1,SDP2.6,CLE1.2,LAA1.9,TBR1.5,CHC3.6,TOR1.0,HOU-0.1
7,Toronto Blue Jays11.8,SEA3.9,SEA3.3,BOS0.9,SDP9.6,BAL1.3,STL0.6,SDP2.0,CLE1.9,TOR2.2,CHC0.8,ATL1.6,MIN1.2,TOR3.5,PHI0.8,SEA-0.1
8,Los Angeles Dodgers11.4,TBR3.6,BOS3.1,TBR0.7,BAL8.0,TOR1.0,BAL0.4,HOU1.8,SDP1.6,KCR2.0,TOR0.7,NYM1.6,WSN1.1,SEA3.2,MIN0.6,LAD-0.1
9,San Diego Padres11.1,SFG2.5,MIL3.0,BAL0.6,MIN5.4,TEX0.8,BOS0.3,PHI1.7,MIN1.3,HOU1.8,NYM0.3,HOU1.4,BOS0.8,TEX2.8,LAD0.5,WSN-0.1
10,Baltimore Orioles10.3,BAL2.3,TBR2.9,MIN0.6,SEA5.0,SDP0.7,TEX0.3,MIN1.5,BOS1.2,BAL1.5,TEX0.2,LAD1.1,CHC0.8,ARI2.8,TEX0.4,BOS-0.2
11,Seattle Mariners8.9,ATL2.3,SFG2.5,SEA0.6,ARI4.6,LAD0.6,PIT0.1,LAD1.5,WSN1.0,WSN1.3,MIN0.2,TEX1.0,ARI0.3,MIN2.0,BOS-0.1,TEX-0.2
