All_P,SP,RP,Non-P,C,1B,2B,3B,SS,LF,CF,RF,OF (All),DH,PH,Name
9.3,7.8,1.6,-8.8,-2.2,-1.8,2.6,-2.2,-0.6,-2.1,-0.8,-0.5,-3.4,-0.7,-0.5,Atlanta Braves
7.8,5.2,2.7,4.1,1.5,-1.3,1.7,-1.5,1.2,-0.9,3.1,-0.6,1.6,0.8,0.1,Tampa Bay Rays
6.9,6.3,0.6,5.4,0.5,-0.6,1.5,1.3,-0.3,0.2,0.6,1.2,2.0,0.6,0.4,Texas Rangers
6.5,2.0,4.5,-10.8,-1.7,-1.5,0.3,-1.9,1.0,-3.4,-0.3,-1.2,-4.9,-1.0,-1.1,Houston Astros
4.6,3.0,1.7,-0.9,1.3,-1.5,-0.2,-0.8,1.0,1.4,0.3,-0.6,1.1,-1.0,-0.8,Minnesota Twins
4.0,3.1,0.9,-1.0,-0.2,0.3,-1.9,1.2,-1.4,0.0,0.5,0.8,1.3,-0.1,-0.2,Philadelphia Phillies
3.9,3.3,0.6,5.0,1.4,-1.5,-0.8,0.2,3.4,0.0,3.2,0.0,3.2,-0.8,-0.1,Toronto Blue Jays
3.6,2.9,0.7,15.4,-0.7,3.5,0.9,2.1,4.0,1.6,0.5,1.5,3.6,1.4,0.6,Los Angeles Dodgers
2.5,2.5,0.0,-10.6,-1.6,1.0,-0.6,-1.3,-3.2,-1.6,-1.0,-0.7,-3.3,-0.6,-1.0,San Diego Padres
2.3,1.7,0.6,8.0,1.3,0.4,0.4,2.3,1.5,0.1,1.0,-0.2,0.9,1.1,0.1,Baltimore Orioles
2.3,1.9,0.4,19.8,1.5,5.2,2.8,3.7,-1.1,-0.9,1.6,5.9,6.6,1.5,-0.4,Seattle Mariners
1.5,4.3,-2.8,9.6,0.7,-1.5,2.0,1.6,2.6,2.8,0.1,2.9,5.8,-1.0,-0.6,Chicago Cubs
1.4,-2.4,3.8,-3.8,-0.5,-1.3,0.7,-0.6,0.3,0.2,0.6,-1.1,-0.3,-1.2,-0.9,Milwaukee Brewers
1.4,3.9,-2.4,-3.9,-1.6,0.8,-0.8,-3.1,3.6,0.3,1.6,-2.0,-0.1,-1.7,-1.0,Boston Red Sox
1.0,0.6,0.4,10.8,1.0,0.0,0.1,2.5,2.2,0.7,3.1,-0.3,3.5,1.0,0.5,Arizona Diamondbacks
0.8,1.0,-0.2,-11.4,-1.4,-1.5,-1.0,-2.1,-1.5,-1.1,0.8,0.1,-0.2,-2.2,-1.5,Miami Marlins
0.8,-0.6,1.4,11.9,-0.2,-2.1,1.8,2.6,1.8,1.3,1.4,3.5,6.2,1.9,-0.1,Cincinnati Reds
0.2,0.0,0.3,4.4,-0.8,-1.8,2.6,-0.5,3.2,0.8,2.0,0.8,3.6,-1.3,-0.6,New York Mets
0.0,5.5,-5.4,14.6,0.8,0.3,5.1,0.6,4.8,0.2,1.0,1.6,2.8,0.4,-0.2,Cleveland Guardians
-0.2,1.9,-2.1,-2.7,-2.0,-0.4,3.0,1.9,-2.3,1.2,-0.6,-1.8,-1.2,-1.0,-0.7,New York Yankees
-0.6,-1.0,0.4,12.0,0.6,4.2,1.5,0.4,0.4,-0.4,1.1,3.8,4.5,0.5,-0.1,Los Angeles Angels
-2.2,1.8,-4.0,-19.3,-3.3,-1.6,-2.1,-0.7,-3.9,-2.2,2.4,-4.3,-4.1,-1.8,-1.8,San Francisco Giants
-2.5,0.8,-3.9,-4.1,-1.0,-2.8,-0.3,-2.2,-0.1,-0.1,1.9,-1.9,-0.1,3.6,-1.2,St Louis Cardinals
-3.1,-2.1,-1.0,-9.2,-2.6,0.1,-2.2,2.9,-2.5,-0.1,-0.4,-2.8,-3.3,-0.5,-1.1,Washington Nationals
-3.6,-1.0,-2.5,4.6,2.0,1.3,2.7,-1.9,-0.4,1.8,0.7,0.3,2.8,-1.1,-0.8,Detroit Tigers
-6.5,-2.6,-3.9,-2.1,0.1,-1.1,-1.0,1.0,1.3,-1.1,-0.9,1.1,-0.9,-1.4,-0.1,Pittsburgh Pirates
-7.0,-3.9,-3.0,-1.5,1.7,0.6,0.3,-0.1,-1.2,-1.1,0.6,-1.2,-1.7,-0.3,-0.8,Kansas City Royals
-10.6,-3.5,-7.0,-7.9,-0.4,-2.7,-1.3,-0.7,2.0,-2.0,0.3,-1.2,-2.9,-1.3,-0.6,Chicago White Sox
-10.9,-6.7,-4.1,-12.2,-1.3,-2.5,-2.3,0.4,0.2,-1.1,-1.2,-1.3,-3.6,-2.0,-1.1,Colorado Rockies
-13.6,-6.6,-7.0,-14.2,-1.0,-0.8,-0.1,-2.4,-1.9,-2.0,-2.3,-0.3,-4.6,-1.4,-2.0,Oakland Athletics
