"year","last_name, first_name","player_id","pitch_hand","api_pitch_type","n_pitches","release_speed","spin_rate","movement_inches","alan_active_spin_pct","active_spin","hawkeye_measured","movement_inferred","api_pitch_name","active_spin_formatted","hawkeye_measured_clock_minutes","movement_inferred_clock_minutes","diff_measured_inferred","diff2","diff_measured_inferred_minutes","hawkeye_measured_clock_hh","hawkeye_measured_clock_mm","movement_inferred_clock_hh","movement_inferred_clock_mm","diff_clock_hh","diff_clock_mm","hawkeye_measured_clock_label","movement_inferred_clock_label","diff_clock_label"
,"Ober, Bailey","641927","R","CH","651","83.7","2083","18.5",0.8833813150963922,0.9941495879140982,109.36510577855388,101.86406059581324,"Changeup","99","135","150",7.50104518274064,7.501045182740653,"-15",2,15,2,30,0,15,"2:15","2:30","-0H 15M"
,"Snell, Blake","605483","L","CH","580","86.7","1794","16.7",0.8391160974846745,0.9847304793453198,225.3243460664408,234.06595697141256,"Changeup","98","630","615",-8.741610904971765,8.741610904971743,"15",10,30,10,15,0,15,"10:30","10:15","+0H 15M"
,"Elder, Bryce","693821","R","CH","373","85","2068","12.1",0.5863072471415637,0.6547510577713975,140.4238639625678,100.02273926318345,"Changeup","65","75","165",40.40112469938434,40.40112469938434,"-90",1,15,2,45,1,30,"1:15","2:45","-1H 30M"
,"Ragans, Cole","666142","L","CH","365","86.6","2056","19",0.910794041580601,0.9941417284273231,238.009087926679,239.85571585369084,"Changeup","99","600","600",-1.8466279270118378,1.846627927011802,"0",10,0,10,0,0,0,"10:00","10:00"," 0H 00M"
,"Kremer, Dean","665152","R","CH","353","85.3","1714","16.8",0.8560676888689651,0.9505802166833424,113.85889796467131,102.14801732167444,"Changeup","95","135","150",11.71088064299687,11.71088064299688,"-15",2,15,2,30,0,15,"2:15","2:30","-0H 15M"
,"France, J.P.","641585","R","CH","331","81.8","1867","18.1",0.8702967331690492,0.9860985804632845,127.75139176421109,117.94139053439959,"Changeup","99","105","120",9.810001229811505,9.81000122981149,"-15",1,45,2,0,0,15,"1:45","2:00","-0H 15M"
,"Brito, Jhony","666745","R","CH","419","88.8","1673","18.1",0.9443674304751765,0.9853195440225456,122.90774250748996,109.88788995943369,"Changeup","99","120","135",13.019852548056264,13.019852548056267,"-15",2,0,2,15,0,15,"2:00","2:15","-0H 15M"
,"Gibson, Kyle","502043","R","CH","471","85.5","1677","15",0.7729473320045878,0.7919810619695067,136.94669126588903,100.97627922762905,"Changeup","79","90","165",35.97041203825998,35.97041203825999,"-75",1,30,2,45,1,15,"1:30","2:45","-1H 15M"
,"Weaver, Luke","596133","R","CH","435","86.1","1717","15.8",0.8203957187585723,0.7643726092574699,143.68409874807287,116.90532701616809,"Changeup","76","75","120",26.778771731904783,26.778771731904783,"-45",1,15,2,0,0,45,"1:15","2:00","-0H 45M"
,"Matz, Steven","571927","L","CH","485","84.1","2306","14.4",0.6596885836482368,0.8324289745924361,268.63105049921637,274.0981599160071,"Changeup","83","540","525",-5.46710941679072,5.467109416790734,"15",9,0,8,45,0,15,"9:00","8:45","+0H 15M"
,"Wells, Tyler","669330","R","CH","348","85.4","2257","20.3",0.9116862886854437,0.9425331797424913,146.1314715869191,126.66451522117453,"Changeup","94","75","105",19.46695636574458,19.46695636574457,"-30",1,15,1,45,0,30,"1:15","1:45","-0H 30M"
,"Davies, Zach","605200","R","CH","364","80.7","1769","16.5",0.8311796436010583,0.993965793184533,113.39150286523511,109.07394430793485,"Changeup","99","135","135",4.317558557300259,4.31755855730025,"0",2,15,2,15,0,0,"2:15","2:15"," 0H 00M"
,"Bello, Brayan","678394","R","CH","626","86.2","1771","17.4",0.8724659521037595,0.9926656298206193,106.86066033876746,94.62705853234577,"Changeup","99","150","165",12.233601806421689,12.233601806421694,"-15",2,30,2,45,0,15,"2:30","2:45","-0H 15M"
,"Dunning, Dane","641540","R","CH","415","85.7","1776","18.1",0.9192268463474635,0.9833248018025084,113.53719055100215,101.27196317836692,"Changeup","98","135","150",12.265227372635238,12.265227372635227,"-15",2,15,2,30,0,15,"2:15","2:30","-0H 15M"
,"Moran, Jovani","663558","L","CH","342","83.2","1692","16",0.8267652415266037,0.8694392815807062,217.66279671704683,244.26280968091214,"Changeup","87","645","585",-26.60001296386531,26.60001296386531,"60",10,45,9,45,1,0,"10:45","9:45","+1H 00M"
,"Scherzer, Max","453286","R","CH","341","83.8","1366","15.3",0.8786914381531902,0.9908815930998846,108.42138299033012,94.73632684688445,"Changeup","99","150","165",13.685056143445664,13.685056143445653,"-15",2,30,2,45,0,15,"2:30","2:45","-0H 15M"
,"López, Pablo","641154","R","CH","620","88.3","2067","17.9",0.8676842466041015,0.8697125402189534,128.2813398766499,104.59857228904725,"Changeup","87","105","150",23.68276758760264,23.68276758760262,"-45",1,45,2,30,0,45,"1:45","2:30","-0H 45M"
,"Sears, JP","676664","L","CH","429","84.1","1715","17.7",0.8969962170187261,0.9897995729791144,257.29787761860564,264.75235915705287,"Changeup","99","570","555",-7.454481538447226,7.454481538447223,"15",9,30,9,15,0,15,"9:30","9:15","+0H 15M"
,"Bibee, Tanner","676440","R","CH","376","83.8","2046","18.6",0.879877041325963,0.9696273817139994,142.76308404732262,131.00030608323266,"Changeup","97","75","105",11.762777964089963,11.762777964089954,"-30",1,15,1,45,0,30,"1:15","1:45","-0H 30M"
,"Kahnle, Tommy","592454","R","CH","502","88.8","1334","13.6",0.8153394419183517,0.9868702641608448,109.27271858929481,93.9944670441487,"Changeup","99","135","165",15.278251545146105,15.278251545146102,"-30",2,15,2,45,0,30,"2:15","2:45","-0H 30M"
,"Greinke, Zack","425844","R","CH","355","86.5","1759","14.4",0.7506078023090555,0.8610374656594729,128.08065443864012,101.24455439408426,"Changeup","86","105","165",26.836100044555863,26.836100044555867,"-60",1,45,2,45,1,0,"1:45","2:45","-1H 00M"
,"Heaney, Andrew","571760","L","CH","434","84","2117","19.1",0.8832512418676105,0.9932495683697714,250.04536509349686,256.6852191021371,"Changeup","99","585","570",-6.63985400864027,6.639854008640296,"15",9,45,9,30,0,15,"9:45","9:30","+0H 15M"
,"Gomber, Austin","596295","L","CH","388","81.6","1642","13.7",0.7797246483132454,0.9750302575670405,237.83245900845267,227.2043647161185,"Changeup","98","600","630",10.628094292334168,10.628094292334115,"-30",10,0,10,30,0,30,"10:00","10:30","-0H 30M"
,"Burnes, Corbin","669203","R","CH","329","89.3","2050","15.8",0.7751787735856548,0.7249262951744095,144.34020652099014,112.69016152253755,"Changeup","72","75","135",31.650044998452586,31.6500449984526,"-60",1,15,2,15,1,0,"1:15","2:15","-1H 00M"
,"Waldichuk, Ken","686610","L","CH","421","84.2","1618","17.2",0.8910574566535834,0.984884993528122,247.7482724607583,256.52576502404946,"Changeup","98","585","570",-8.777492563291162,8.777492563291165,"15",9,45,9,30,0,15,"9:45","9:30","+0H 15M"
,"Giolito, Lucas","608337","R","CH","887","80.9","1547","16.6",0.8787782170773105,0.9800491494719257,136.32088143534463,125.96097444383601,"Changeup","98","90","105",10.359906991508623,10.359906991508614,"-15",1,30,1,45,0,15,"1:30","1:45","-0H 15M"
,"Castillo, Luis","622491","R","CH","486","88.3","1907","18.7",0.9150761495359954,0.9180755827409628,109.68998189095026,89.72863372497216,"Changeup","92","135","180",19.96134816597811,19.9613481659781,"-45",2,15,3,0,0,45,"2:15","3:00","-0H 45M"
,"Kelly, Merrill","518876","R","CH","612","88.7","2140","16.5",0.8029406980299245,0.8308281885336436,120.53951319648844,88.2695878161704,"Changeup","83","120","180",32.26992538031804,32.26992538031805,"-60",2,0,3,0,1,0,"2:00","3:00","-1H 00M"
,"Wacha, Michael","608379","R","CH","730","81.6","1524","17.5",0.9168877338434529,0.8414442702723968,117.74554524737576,120.38394040421153,"Changeup","84","120","120",-2.63839515683577,2.638395156835773,"0",2,0,2,0,0,0,"2:00","2:00"," 0H 00M"
,"Martinez, Nick","607259","R","CH","498","80.7","2000","13.7",0.6345260959513142,0.8030880598235953,114.06919044291502,104.3742009800963,"Changeup","80","135","150",9.694989462818711,9.694989462818706,"-15",2,15,2,30,0,15,"2:15","2:30","-0H 15M"
,"Peralta, Wandy","593974","L","CH","385","89","2186","18",0.8420592081575197,0.8476750583362231,231.0118514045896,258.38901157081256,"Changeup","85","615","570",-27.37716016622295,27.377160166222957,"45",10,15,9,30,0,45,"10:15","9:30","+0H 45M"
,"Bielak, Brandon","656232","R","CH","340","87.1","1879","16.3",0.8092714568088268,0.8756359714206257,130.81808243358373,103.73505325053777,"Changeup","88","105","150",27.08302918304595,27.083029183045962,"-45",1,45,2,30,0,45,"1:45","2:30","-0H 45M"
,"Peterson, David","656849","L","CH","357","85.3","1587","17.3",0.920532001435824,0.9506257458414044,237.62844646738003,252.48181372226594,"Changeup","95","600","570",-14.85336725488591,14.853367254885937,"30",10,0,9,30,0,30,"10:00","9:30","+0H 30M"
