"last_name, first_name","player_id","year","pa","k_percent","bb_percent","woba","xwoba","sweet_spot_percent","barrel_batted_rate","hard_hit_percent","avg_best_speed","avg_hyper_speed","whiff_percent","swing_percent"
"Wainwright, Adam","425794","2020","262",20.6,5.7,".277",".324",33,6.3,36.6,"75.684768404","93.58274617",24.1,46
"Greinke, Zack","425844","2020","273",24.5,3.3,".293",".299",34.7,8.2,35.2,"74.93030732","93.291148144",27.7,40.8
"Sanchez, Anibal","434671","2020","245",17.6,7.3,".383",".354",37.6,9.4,37.6,"78.450162111","93.882949553",23.4,47.6
"Lester, Jon","452657","2020","265",15.8,6.4,".333",".363",34,12.3,38.9,"77.820627228","94.226303762",18.1,44.3
"Scherzer, Max","453286","2020","295",31.2,7.8,".319",".321",41.9,8.4,36.3,"77.195484023","94.048872832",32.4,50.5
"Arrieta, Jake","453562","2020","190",16.8,8.4,".351",".359",35.5,7.8,38.3,"77.831902899","94.159655145",18.9,41.3
"Cueto, Johnny","456501","2020","277",20.2,9.4,".324",".336",34.4,5.7,33.9,"77.153333789","93.34431836",19.9,45.2
"Happ, J.A.","457918","2020","196",21.4,7.7,".284",".279",26.3,5.1,34.3,"78.233579118","93.142280296",22.5,48
"Lindblom, Josh","458676","2020","191",27.2,8.4,".319",".310",44.2,5,32.5,"78.269397833","92.867144118",29.5,44
"Lynn, Lance","458681","2020","344",25.9,7.3,".287",".279",34.4,5.4,37.5,"77.997525495","93.735972793",25.4,49.5
"Carrasco, Carlos","471911","2020","280",29.3,9.6,".292",".300",35.5,8.3,34.9,"76.917276386","93.634904277",32.6,48.8
"Anderson, Brett","474463","2020","202",15.8,5,".328",".333",31.4,6.4,48.1,"77.666151299","94.78777513",19.5,44.9
"Kershaw, Clayton","477132","2020","221",28.1,3.6,".251",".271",29.3,8,34,"76.446133784","93.625258243",27.6,49.8
"Minor, Mike","501985","2020","239",25.9,8.4,".307",".317",36.5,10.3,40.4,"75.572587564","93.83100891",27,46.6
"Gibson, Kyle","502043","2020","301",19.3,10,".356",".360",33.3,7.2,39.6,"76.836915825","93.881787171",23.3,41.5
"Cobb, Alex","502171","2020","226",16.8,8,".320",".376",33.9,9.5,48.2,"80.598450476","95.660059042",23.5,44.2
"Darvish, Yu","506433","2020","297",31.3,4.7,".250",".269",36.9,6.4,34.2,"78.651437283","93.49421",31.9,49.7
"Bumgarner, Madison","518516","2020","190",15.8,6.8,".383",".409",37.6,14.9,40.4,"78.889719296","94.348475532",17.4,49.4
"Duffy, Danny","518633","2020","242",23.6,9.1,".324",".331",32.9,7.5,36,"77.840288987","93.989484013",25.6,46.3
"Porcello, Rick","519144","2020","261",20.7,5.7,".340",".348",35.3,8.4,36.8,"74.969895638","93.762452941",15.3,48.4
